alarm_date,cont_date,gis_acres,cause_name,cause_category,subregion_id,subregion_name,subregion_area,road_distance,urban_distance,veg_level,build_density,pop_density
1980-09-01T00:00:00Z,1980-09-02T00:00:00Z,434.08878,Equipment Use,Human,7,South Coast and Montane,42488.862,11.2,3,0.0288,0.795,314.1705
1980-09-02T00:00:00Z,NA,7848.3579,Unknown / Unidentified,Other,7,South Coast and Montane,42488.862,9.6,7.2,0.1621,0.9843,347.2951
1980-09-02T00:00:00Z,1980-09-05T00:00:00Z,457.10269,Equipment Use,Human,5,Central Valley,74899.613,28.2,39,1.9129,0.1328,13.8784
1980-09-05T00:00:00Z,1980-09-06T00:00:00Z,28.408001,Lightning,Natural,2,North Interior,43000.296,13,146.5,0.5891,0.0419,1.4718
1980-09-06T00:00:00Z,NA,18.180033,Lightning,Natural,9,Great Basin,52777.643,13.8,146.2,0.5899,0.0419,1.4838
1980-09-06T00:00:00Z,1980-09-08T00:00:00Z,29.871155,Equipment Use,Human,1,North Coast and Montane,64191.163,10.8,24.9,1.3793,0.1492,6.7898
1980-09-10T00:00:00Z,1980-09-11T00:00:00Z,798.97003,Lightning,Natural,2,North Interior,43000.296,15.4,73.3,0.7331,0.0254,0.7578
1980-09-13T00:00:00Z,NA,236.32272,Unknown / Unidentified,Other,5,Central Valley,74899.613,0,0,0.7172,0.7293,337.5644
1980-09-13T00:00:00Z,NA,817.53436,Unknown / Unidentified,Other,1,North Coast and Montane,64191.163,12.1,8.5,0.7471,0.3145,93.2302
1980-09-13T00:00:00Z,NA,253.58525,Unknown / Unidentified,Other,6,Central Coast and Montane,38989.393,0,6.3,0.6425,0.6794,317.992
1980-09-13T00:00:00Z,NA,636.64075,Unknown / Unidentified,Other,6,Central Coast and Montane,38989.393,0.1,3.2,0.6604,0.5922,275.5575
1980-09-14T00:00:00Z,NA,46.556103,Miscellaneous,Other,7,South Coast and Montane,42488.862,1.9,0,0.0266,1.0733,584.3075
1980-09-20T00:00:00Z,1980-09-22T00:00:00Z,40.607487,Miscellaneous,Other,4,South Sierran,31366.273,13.1,5.3,0.7646,0.1037,12.0932
1980-09-22T00:00:00Z,NA,264.78522,Unknown / Unidentified,Other,5,Central Valley,74899.613,6.4,9.3,0.73,0.333,129.7165
1980-09-22T00:00:00Z,1980-09-23T00:00:00Z,18.9202,Arson,Human,1,North Coast and Montane,64191.163,5.2,53.2,2.8044,0.0249,2.4668
1980-09-23T00:00:00Z,NA,2045.3583,Unknown / Unidentified,Other,6,Central Coast and Montane,38989.393,1,5,0.261,0.0763,18.7096
1980-09-23T00:00:00Z,NA,243.47833,Lightning,Natural,4,South Sierran,31366.273,15.5,49.4,1.6895,0.0881,3.8424
1980-09-25T00:00:00Z,1980-09-27T00:00:00Z,122.48117,Arson,Human,1,North Coast and Montane,64191.163,0,52,2.3378,0.0233,2.3737
1980-09-26T00:00:00Z,1980-09-28T00:00:00Z,14.929452,Smoking,Human,4,South Sierran,31366.273,44.9,39.6,1.7388,0.0329,1.4481
1980-09-28T00:00:00Z,NA,155.53648,Unknown / Unidentified,Other,8,South Interior,103810.781,10.1,9.4,0.0702,0.4313,60.5943
1980-09-29T00:00:00Z,NA,1586.5468,Unknown / Unidentified,Other,7,South Coast and Montane,42488.862,0,0,0.0264,1.1398,526.9953
1980-09-30T00:00:00Z,1980-10-01T00:00:00Z,4.0268855,Arson,Human,1,North Coast and Montane,64191.163,0.1,44.5,2.8542,0.0266,2.8824
1980-09-30T00:00:00Z,1980-10-06T00:00:00Z,8326.6172,Equipment Use,Human,4,South Sierran,31366.273,26,54.6,1.481,0.0232,1.1512
1980-10-02T00:00:00Z,NA,25.237415,Miscellaneous,Other,7,South Coast and Montane,42488.862,0.4,49,0.0156,0.0461,3.3339
